age,duration,euribor3m,nr.employed,y 
0.861321682,-0.120662915,0.287535523,0.398115295,no
-0.290185642,-0.217085223,0.287535523,0.398115295,no
3.644131048,3.431534898,-1.586282873,-2.428156834,yes
-0.386144586,-0.533350392,0.712459879,0.331679907,no
1.820911118,0.4231589,-1.360271547,-1.257233122,no
-1.057857191,-0.008813038,0.774151746,0.845170093,no
-1.345734022,0.735567177,-1.581093838,-1.257233122,yes
-0.961898248,-0.510209038,0.287535523,0.398115295,no
0.957280625,1.217678715,0.716495796,0.331679907,no
-0.674021417,0.9245549,0.772422068,0.845170093,no
0.381526963,-0.386788484,0.772998627,0.845170093,no
-0.76998036,-0.637486484,0.71130676,0.331679907,no
-1.345734022,-0.722338115,0.773575187,0.845170093,no
0.28556802,-0.21322833,0.775304865,0.845170093,no
1.533034287,0.427015792,-1.322795179,-0.940280958,no
-0.002308811,2.683297791,-1.318759262,-0.940280958,yes
-0.76998036,-0.591203776,0.775304865,0.845170093,no
0.669403794,-0.425357407,0.71188332,0.331679907,no
0.957280625,-0.618202022,0.712459879,0.331679907,no
-0.578062473,0.114607516,-1.711972846,-2.191480765,yes
0.573444851,-0.31350753,0.775304865,0.845170093,no
-0.098267755,-0.398359161,-1.322795179,-0.940280958,no
0.093650133,-0.452355653,0.771845508,0.845170093,no
-0.961898248,-0.440784976,0.712459879,0.331679907,no
1.437075344,-0.1785163,-1.711972846,-2.191480765,yes
-0.674021417,-0.433071192,-1.527473803,-2.815696597,no
0.573444851,0.257312531,-1.254761157,-0.940280958,no
-0.194226698,0.126178192,0.287535523,0.398115295,no
-0.386144586,-0.598917561,0.773575187,0.845170093,no
-0.961898248,-0.529493499,0.773575187,0.845170093,no
-0.578062473,-0.085950884,0.775881425,0.845170093,no
2.204746893,-0.367504023,-1.56667985,-2.428156834,no
0.573444851,3.500958959,-1.4848084,-2.815696597,no
0.381526963,-0.479353899,-1.66008249,-2.428156834,no
1.437075344,-0.652914053,0.775881425,0.845170093,no
-0.76998036,2.089336376,-1.367190261,-0.940280958,no
-0.578062473,0.029755885,0.772998627,0.845170093,no
-0.674021417,0.419302008,0.712459879,0.331679907,no
-0.578062473,-0.726195007,-1.277823537,-0.940280958,no
-1.633610853,0.149319546,-1.277823537,-0.940280958,no
-0.098267755,-0.46392633,-1.330867012,-0.940280958,no
-0.961898248,0.091466162,0.71130676,0.331679907,no
0.093650133,1.989057176,-1.300885917,-0.940280958,yes
1.437075344,-0.76476393,0.772998627,0.845170093,no
-0.961898248,-0.706910545,0.775881425,0.845170093,no
0.765362738,-0.656770945,0.771845508,0.845170093,no
-0.386144586,0.831989484,-1.597237504,-1.257233122,yes
0.573444851,-0.371360915,0.306561987,0.398115295,no
0.765362738,-0.136090484,-1.242653407,-0.940280958,no
-0.386144586,-0.56420553,0.772422068,0.845170093,no
1.245157456,-0.101378454,0.713036439,0.331679907,no
1.533034287,-0.722338115,0.71188332,0.331679907,no
0.765362738,1.479947391,0.776457984,0.845170093,no
-0.482103529,-0.182373192,-1.330867012,-0.940280958,no
0.957280625,0.133891977,0.776457984,0.845170093,no
-0.76998036,-0.109092238,-1.277823537,-0.940280958,no
-0.290185642,-0.294223069,0.771845508,0.845170093,no
1.533034287,-0.402216053,0.712459879,0.331679907,no
-0.482103529,-0.533350392,0.772422068,0.845170093,no
1.053239569,0.700855146,-1.349316916,-0.940280958,yes
1.053239569,0.149319546,-1.653163776,-2.428156834,yes
0.381526963,-0.332791992,-1.27494074,-0.940280958,no
-0.386144586,-0.529493499,0.712459879,0.331679907,no
-0.386144586,1.379668192,0.776457984,0.845170093,no
0.669403794,0.199459146,0.773575187,0.845170093,no
-0.961898248,-0.510209038,0.775304865,0.845170093,no
-0.76998036,-0.818760422,0.776457984,0.845170093,no
-0.098267755,-0.236369684,0.773575187,0.845170093,no
2.972418442,0.211029823,-1.62491236,-2.069682553,no
-0.578062473,0.342164162,0.287535523,0.398115295,no
-0.76998036,-0.807189745,0.712459879,0.331679907,no
1.724952175,-0.124519807,0.716495796,0.331679907,no
-1.82552874,-0.151518054,0.772998627,0.845170093,no
-0.098267755,-0.96532233,-1.367190261,-0.940280958,no
-0.098267755,-0.3289351,0.713612998,0.331679907,no
-0.098267755,-0.672198515,0.306561987,0.398115295,no
0.477485907,-0.583489992,0.71188332,0.331679907,no
-0.002308811,0.434729577,0.712459879,0.331679907,no
0.861321682,-0.938324084,0.773575187,0.845170093,no
0.765362738,-0.552634853,0.712459879,0.331679907,no
-1.441692966,0.037469669,0.71188332,0.331679907,no
0.861321682,0.099179946,0.77011583,0.845170093,no
-0.674021417,-0.494781469,-1.338938845,-0.940280958,no
-0.482103529,-0.760907038,0.772998627,0.845170093,no
-0.674021417,1.36038373,0.772998627,0.845170093,no
-0.386144586,-0.409929838,0.717072355,0.845170093,no
0.861321682,0.403874438,0.71188332,0.331679907,no
-0.961898248,-0.737765684,-1.367190261,-0.940280958,no
3.548172104,-0.155374946,-1.573022004,-2.428156834,yes
-0.578062473,-0.043525069,0.712459879,0.331679907,no
0.765362738,-0.868900022,-1.357965309,-0.940280958,no
0.381526963,-0.71462433,0.772998627,0.845170093,no
0.957280625,-0.267224823,0.71130676,0.331679907,no
0.861321682,-0.479353899,0.772998627,0.845170093,no
-1.153816135,0.889842869,-1.584553195,-1.257233122,yes
0.957280625,2.390173975,0.71130676,0.331679907,no
-0.002308811,-0.402216053,-1.360271547,-1.257233122,no
0.765362738,-0.926753407,-1.367190261,-0.940280958,no
-0.76998036,-0.803332853,0.776457984,0.845170093,no
-1.057857191,-0.012669931,0.772422068,0.845170093,no
-1.057857191,-0.895898268,-1.338938845,-0.940280958,no
1.437075344,-0.571919315,0.230456132,0.398115295,no
0.477485907,-0.780191499,0.714189558,0.331679907,no
1.149198513,-0.780191499,0.717072355,0.845170093,no
-0.76998036,-0.706910545,-1.349316916,-0.940280958,no
-0.194226698,-0.406072946,0.712459879,0.331679907,no
-0.674021417,-0.097521561,-1.661812168,-2.069682553,yes
-1.057857191,-0.633629592,0.772998627,0.845170093,no
-0.290185642,-0.232512792,0.773575187,0.845170093,no
